ABB AVL Valor
384 3 383
887 10 886
778 9 777
916 8 915
794 9 793
336 6 335
387 10 386
493 10 492
650 9 649
422 9 421
363 10 362
28 8 27
691 10 690
60 8 59
764 8 763
927 10 926
541 10 540
427 10 426
173 10 172
737 10 736
212 8 211
369 10 368
568 7 567
430 9 429
783 10 782
531 10 530
863 10 862
124 8 123
68 8 67
136 7 135
930 9 929
803 10 802
23 10 22
59 10 58
70 9 69
168 7 167
394 9 393
457 10 456
12 8 11
43 10 42
230 9 229
374 9 373
422 9 421
920 7 919
785 10 784
538 9 537
199 10 198
325 10 324
316 8 315
371 10 370
414 9 413
527 10 526
92 8 91
981 10 980
957 10 956
874 9 873
863 10 862
171 10 170
997 9 996
282 9 281
306 9 305
926 9 925
85 10 84
328 7 327
337 10 336
506 9 505
847 10 846
730 9 729
314 9 313
858 9 857
125 10 124
896 3 895
583 10 582
546 9 545
815 10 814
368 6 367
435 10 434
365 10 364
44 8 43
751 10 750
88 7 87
809 10 808
277 10 276
179 10 178
789 10 788
585 10 584
404 8 403
652 8 651
755 10 754
400 6 399
933 10 932
61 10 60
677 10 676
369 10 368
740 8 739
13 10 12
227 10 226
587 10 586
95 10 94
540 8 539
796 8 795
571 10 570
435 10 434
379 10 378
468 8 467
602 9 601
98 9 97
903 10 902
318 9 317
493 10 492
653 10 652
757 10 756
302 9 301
281 10 280
287 10 286
442 9 441
866 9 865
690 9 689
445 10 444
620 8 619
441 10 440
730 9 729
32 5 31
118 9 117
98 9 97
772 8 771
482 9 481
676 8 675
710 9 709
928 5 927
568 7 567
857 10 856
498 9 497
354 9 353
587 10 586
966 8 965
307 10 306
684 8 683
220 8 219
625 10 624
529 10 528
872 7 871
733 10 732
830 9 829
504 7 503
20 8 19
271 10 270
369 10 368
709 10 708
716 8 715
341 10 340
150 9 149
797 10 796
724 8 723
619 10 618
246 9 245
847 10 846
452 8 451
922 9 921
556 8 555
380 8 379
489 10 488
765 10 764
229 10 228
842 9 841
351 10 350
194 9 193
501 10 500
35 10 34
765 10 764
125 10 124
915 10 914
988 8 987
857 10 856
744 7 743
492 8 491
228 8 227
366 9 365
860 8 859
937 10 936
433 10 432
552 7 551
438 9 437
229 10 228
276 8 275
408 7 407
475 10 474
122 9 121
859 10 858
396 8 395
30 9 29
238 9 237
236 8 235
794 9 793
819 10 818
429 10 428
144 6 143
12 8 11
929 10 928
530 9 529
777 10 776
405 10 404
444 8 443
764 8 763
614 9 613
539 10 538
607 10 606
841 10 840
905 10 904
819 10 818
129 10 128
689 10 688
370 9 369
918 9 917
918 9 917
997 9 996
325 10 324
744 7 743
471 10 470
184 7 183
491 10 490
500 8 499
773 10 772
726 9 725
645 10 644
591 10 590
506 9 505
140 8 139
955 10 954
787 10 786
670 9 669
83 10 82
543 10 542
465 10 464
198 9 197
508 8 507
356 8 355
805 10 804
349 10 348
612 8 611
623 10 622
829 10 828
300 8 299
344 7 343
747 10 746
569 10 568
341 10 340
423 10 422
312 7 311
811 10 810
606 9 605
802 9 801
662 9 661
731 10 730
879 10 878
306 9 305
321 10 320
737 10 736
445 10 444
627 10 626
523 10 522
466 9 465
709 10 708
417 10 416
283 10 282
259 10 258
925 10 924
638 9 637
63 10 62
625 10 624
601 10 600
37 10 36
453 10 452
900 8 899
380 8 379
551 10 550
469 10 468
72 7 71
974 8 973
132 8 131
882 9 881
931 10 930
934 9 933
895 10 894
661 10 660
164 8 163
200 7 199
982 9 981
900 8 899
997 9 996
960 4 959
774 9 773
814 9 813
669 10 668
191 10 190
96 5 95
927 10 926
467 10 466
85 10 84
341 10 340
91 10 90
685 10 684
377 10 376
543 10 542
937 10 936
108 8 107
446 9 445
757 10 756
180 8 179
419 10 418
888 7 887
413 10 412
349 10 348
173 10 172
660 8 659
10 9 9
337 10 336
211 10 210
343 10 342
588 8 587
207 10 206
302 9 301
714 9 713
373 10 372
322 9 321
256 2 255
820 8 819
600 7 599
722 9 721
905 10 904
940 8 939
812 8 811
941 10 940
668 8 667
706 9 705
229 10 228
128 3 127
151 10 150
985 10 984
659 10 658
921 10 920
225 10 224
423 10 422
270 9 269
397 10 396
82 9 81
631 10 630
85 10 84
293 10 292
973 9 972
